gray0 HP Recovery Items and SKil, 10% chance to ignore 40%, 5% chance to ignore 20% d
gray1 HP Recovery Items and SKil, 10% chance to ignore 40%, 5% chance to ignore 20% d
gray2 Max MP: +9%, Max MP: +12%, LUK: +9%
gray3 Max HP: +9%, Max MP: +12%, Max MP: +9%
gray4 Max HP: +9%, Max HP: +12%, Max MP: +9%
gray5 Max MP: +9%, DEX: +12%, STR: +9%
gray6 All Stats: +6%, LUK: +12%, STR: +9%
gray7 5% chance to ignore 40% d, 10% chance to ignore 20%, LUK: +9%
gray8 LUK: +9%, LUK: +12%, Max HP: +9%
gray9 INT: +9%, All Stats: +9%, HP Recovery Items and Skil
gray10 INT: +9%, Max HP: +12%, All Stats: +6%
gray11 5% chance to ignore 40% d, STR: +12%, Max MP: +9%
gray12 STR: +9%, Max HP: +12%, INT: +9%
gray13 STR: +9%, LUK: +12%, INT: +9%
gray14 Max MP: +9%, Max HP: +12%, 5% chance to ignore 40% d
gray15 5% chance to ignore 20% d, LUK: +12%, Max HP: +9%
gray16 5% chance to ignore 40% d, Max HP: +12%, HP Recovery Items and Skil
gray17 5% chance to ignore 40% d, All Stats: +9%, DEX: +9%
gray18 All Stats: +6%, Max HP: +12%, STR: +9%
gray19 STR: +9%, INT: +12%, Max HP: +9%
gray20 Max MP: +9%, 10% chance to ignore 20%, Max HP: +9%
gray21 Max HP: +9%, Max MP: +12%, LUK: +9%
gray22 All Stats: +6%, 10% chance to ignore 20%, Max MP: +9%
gray23 Max HP: +9%, All Stats: +9%, HP Recovery Items and Skil
gray24 Max MP: +9%, All Stats: +9%, LUK: +9%
gray25 LUK: +12%, STR: +12%, LUK: +9%
gray26 LUK: +9%, STR: +12%, STR: +9%
